Initial list for QuickSortRecursive: [6807, 5249, 73, 3658, 8930, 1272, 7544, 878, 7923, 7709, 4440, 8165]
The 3-th element of the list: 1272
Sorted list for QuickSortRecursive: [73, 878, 1272, 3658, 4440, 5249, 6807, 7544, 7709, 7923, 8165, 8930]

Initial list for QuickSort: [933, 3099, 278, 1816, 5335, 9097, 7826, 3512, 9267, 3810, 7633, 979]
Sorted list for QuickSort: [278, 933, 979, 1816, 3099, 3512, 3810, 5335, 7633, 7826, 9097, 9267]

Initial list for MergeSortRecursive: [194, 6357, 5001, 1153, 6708, 7944, 5668, 1490, 8124, 2196, 9530, 903]
Sorted list for MergeSortRecursive: [194, 903, 1153, 1490, 2196, 5001, 5668, 6357, 6708, 7944, 8124, 9530]

Initial list for MergeSort: [7722, 4666, 8549, 8024, 7801, 6853, 977, 7408, 8228, 4933, 298, 8981]
Sorted list for MergeSort: [298, 977, 4666, 4933, 6853, 7408, 7722, 7801, 8024, 8228, 8549, 8981]

Length	T_qsr	T_msr	T_qsll	T_msll
77087841	5.565011	5.441388	9.699179	10.990441
88550676	6.447004	6.330605	11.159007	12.622866
101718016	7.466620	7.275826	12.806086	14.494944
116843318	8.590036	8.357982	14.857092	16.682196
134217728	9.994146	9.596951	17.077820	19.168848
154175683	11.520797	11.206087	19.761332	22.378109
177101353	13.307402	13.022921	22.978677	26.074462
203436033	15.318734	15.007167	26.098095	29.687775
233686637	17.832633	17.146080	30.242428	34.317539
268435456	20.455727	19.759527	34.875007	39.208253
308351366	23.748731	23.425503	40.918607	45.913896
354202707	27.696297	26.807516	46.563335	54.741957
406872067	31.271947	30.618625	53.355746	60.498727
467373274	36.783368	35.667388	62.615179	71.113247
536870912	42.540879	41.191794	72.791212	80.608275
616702733	49.184386	47.944847	83.188889	93.042660
708405415	56.537978	55.760782	96.556117	108.156060
813744135	65.454639	64.068895	110.682347	121.966589
934746549	74.693512	72.713624	128.013515	141.376579
1073741824	88.025416	85.050258	152.487075	171.044983

Process finished with exit code 0

